sample	experiment	type	growth_stage	stage_VR	cultivar	block	stage_develop	tissue	tissue_age	depth	tissue 2
endca	pot	soil	end	end_soil	c	1	end_soil	soil	NA	NA	soil
endcb	pot	soil	end	end_soil	c	2	end_soil	soil	NA	NA	soil
endcc	pot	soil	end	end_soil	c	3	end_soil	soil	NA	NA	soil
endsa	pot	soil	end	end_soil	s	1	end_soil	soil	NA	NA	soil
endsb	pot	soil	end	end_soil	s	2	end_soil	soil	NA	NA	soil
endsc	pot	soil	end	end_soil	s	3	end_soil	soil	NA	NA	soil
R1	pot	rhizo	VE.1	V	s	1	cotyl	Lat1	young	NA	lateral1
R10	pot	rhizo	VE.1	V	c	1	cotyl	t4	young	NA	t4
R100	pot	rhizo	VE.7	V	c	3	uni	Lat1	young	NA	lateral1
R101	pot	rhizo	VE.7	V	c	3	uni	subcrown	young	NA	subcrown
R102	pot	rhizo	VE.7	V	c	3	uni	below_subcrown	young	NA	tap2
R103	pot	rhizo	V1	V	s	1	tri	tip	young	NA	tip
R104	pot	rhizo	V1	V	s	1	tri	tap1	young	NA	subtip (taproot)
R105	pot	rhizo	V1	V	s	1	tri	adjtip	young	NA	subtip (lateral)
R106	pot	rhizo	V1	V	s	1	tri	Lat1	woody	NA	lateral1
R107	pot	rhizo	V1	V	s	1	tri	subcrown	woody	NA	subcrown
R108	pot	rhizo	V1	V	s	1	tri	below_subcrown	woody	NA	tap2
R109	pot	rhizo	V1	V	s	1	tri	nod	nod	NA	nodule
R11	pot	rhizo	VE.1	V	s	2	cotyl	Lat1	young	NA	lateral1
R110	pot	rhizo	V1	V	s	2	tri	tip	young	NA	tip
R111	pot	rhizo	V1	V	s	2	tri	tap1	young	NA	subtip (taproot)
R112	pot	rhizo	V1	V	s	2	tri	adjtip	young	NA	subtip (lateral)
R113	pot	rhizo	V1	V	s	2	tri	Lat1	woody	NA	lateral1
R114	pot	rhizo	V1	V	s	2	tri	subcrown	woody	NA	subcrown
R115	pot	rhizo	V1	V	s	2	tri	below_subcrown	woody	NA	tap2
R116	pot	rhizo	V1	V	s	2	tri	nod	nod	NA	nodule
R117	pot	rhizo	V1	V	s	3	tri	tip	young	NA	tip
R118	pot	rhizo	V1	V	s	3	tri	tap1	young	NA	subtip (taproot)
R119	pot	rhizo	V1	V	s	3	tri	adjtip	young	NA	subtip (lateral)
R120	pot	rhizo	V1	V	s	3	tri	Lat1	woody	NA	lateral1
R121	pot	rhizo	V1	V	s	3	tri	subcrown	woody	NA	subcrown
R122	pot	rhizo	V1	V	s	3	tri	below_subcrown	woody	NA	tap2
R123	pot	rhizo	V1	V	s	3	tri	nod	nod	NA	nodule
R124	pot	rhizo	V1	V	c	1	tri	tip	young	NA	tip
