Phylum,Class,Order,Family,Genus,Species,Strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
p__Acidobacteriota,c__Acidobacteriae,na,na,na,na,ASV_19947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75374E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,na,na,na,na,ASV_27368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.72195E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,na,na,na,na,ASV_31347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45097E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Acidicapsa,s__Acidicapsa_borealis,ASV_25681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47831E-05,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Acidicapsa,s__Acidicapsa_sp.,ASV_17951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71908E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Acidipila,na,ASV_12368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Acidipila,na,ASV_14562,0,0,0,0.001966568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Acidipila,na,ASV_18649,0,0,0.003454231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000127959,0,0,0,0.00024695,0.000738773,0,0.001283514,0.000253946,0,0,0.001031729,0,0.001065734,0,0,0.000183083,0.000801885,0.00027821,0,0.001006573,0,0,0,0.000944171,0,0.002116343,0.001844639,0.000603743,0,0,0.00091999,0,0.00072725,0.001047338,0.000727109
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Acidipila,na,ASV_20339,0,0,8.86997E-05,0,0,0,0.000182606,0,0.000149853,0.000204834,0,0,0.000280112,0,0,0,0,0,0,0,0,0.00011763,0,0,0.000187392,0.000181159,0,0,0,0,0,0,0,0.000227828,0,0,0,0.000171963,0,0,0,0,0,0,0,0,0,0,0.000411486,0,0,0.00018912,0.0001203,0,0,0
p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Acidipila,na,ASV_7379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000216647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
