Phylum,Class,Order,Family,Genus,Strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Massilia,ASV_35575,0,0,2.9566554313760333e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,na,ASV_10781,0,0,0,0,0,0,0,0,0,0,0,7.77725929382485e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia-Caballeronia-Paraburkholderia,ASV_29050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28504319831805e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,na,na,ASV_1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.189710072063016e-5
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia-Caballeronia-Paraburkholderia,ASV_5011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3329433684301834e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,na,ASV_34741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0157724901233498e-5
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,na,ASV_32941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.727376861397483e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia-Caballeronia-Paraburkholderia,ASV_1465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3032963249849334e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia-Caballeronia-Paraburkholderia,ASV_36051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6425215991590285e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia-Caballeronia-Paraburkholderia,ASV_28234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.152949329419934e-5,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia-Caballeronia-Paraburkholderia,ASV_29850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71277938664885e-5,0,0,0,0,0,0,0,4.0549671300417334e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia-Caballeronia-Paraburkholderia,ASV_25201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.210180623973734e-5,0,0,0,0,0,0,0,0,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,na,ASV_18457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0342746801834334e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__uncultured,ASV_36409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6952765517889e-5,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,na,ASV_32510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.363799715718616e-5,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Pelomonas,ASV_3044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002066259683320795,9.832841691248767e-5,0.0010773391893352732,0,0,0,0,0,0,0,0,0,0,0,8.672884961544751e-4,7.957559681697617e-4,1.2886182790502882e-4
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Pelomonas,ASV_5036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017779214481978332,0,0,0,0,0,0,7.79810009924855e-4,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,na,ASV_9276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.712452871131367e-5,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,na,ASV_8076,0,0,0,0,0,0,6.75675675675675e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80853637952875e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4237935632681e-4,0,2.645240220877567e-4,0,6.511688480823067e-4,0,5.246039240373534e-4,0,0,1.3416515730864698e-4,2.6990553306342833e-4,7.7639751552795e-4,0,2.9537045673600165e-4,0.0031112002271287144,0.0014514473661553316,0.002621119113443525
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,na,ASV_28788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008067092651757183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4981306355839e-4,0,0,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Roseateles,ASV_11615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3694878115584768e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7314732363708332e-4,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,na,ASV_14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015063481816225517,0,2.9215645837629836e-4,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,na,ASV_18538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7683465959328001e-4,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,na,ASV_13025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1520522753061834e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Rhizobacter,ASV_16071,0,0,0,0.0038377090322280183,0,0,0,0,0,5.524861878453034e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,na,ASV_35457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69153178512785e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Rhizobacter,ASV_11706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.601794009290405e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,na,ASV_6519,0,0,0,0,0,0.00140646976090014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.573042312847018e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010362347907474265,0,0,0,0,0,0,0,0,2.1159542953872164e-4,1.6112140497865152e-4
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Rhizobacter,ASV_3855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9651634454784e-4,0,0,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Rhizobacter,ASV_16387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0688328345446767e-4,0.0012738592501939049,0,0,0,0,0,2.03823733235498e-4,0,0,9.359540045460633e-4,0,0,0,0,4.3133195307108334e-4,0,2.487330161987383e-4,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Rhizobacter,ASV_28020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.114905727499117e-5,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,na,ASV_8807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.324783889047216e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,na,ASV_18801,0,0,0,0,0,0,0,0,0,0,0,0,1.1204481792717083e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,na,ASV_33209,0,0,0,0,0,0,0,0,0,0,0,1.45942790426153e-4,0,0,0,0,0,0,0,0,3.492364739794588e-5,0,0,0,0,0,4.078968836678084e-5,0,0,0,0,0,4.0228497867889664e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.106554830692767e-5,0,0,0
